tournamentID,tounamentDate,tournamentTitle,playerCount,playerCountCategory,country
shimmering-skies-set-championship-tournament-decks-1633,2024-10-19,Shimmering Skies Set Championship,17,17 - 32,US
lorcana-shimmering-skies-set-championships-pg-tournament-decks-1632,2024-10-19,Lorcana Shimmering Skies Set Championships @ PG,27,17 - 32,GB
wheel-of-frotune-tournament-decks-1631,2024-10-19,Wheel of Frotune,10,0 - 16,NL
gameknight-shimmering-skies-sc-tournament-decks-1630,2024-10-19,Gameknight Shimmering Skies SC,24,17 - 32,CA
shimmeering-skies-set-championship-at-twin-city-collectibles-tournament-decks-1629,2024-10-19,Shimmeering Skies Set Championship at Twin City Collectibles,16,0 - 16,US
lorca-quest-main-event-tournament-decks-1627,2024-10-19,Lorca Quest Main Event,707,more than 64,FR
set-5-championship-nuremberg-tournament-decks-1625,2024-10-19,Set 5 Championship Nuremberg,20,17 - 32,DE
cartapapa-set-championship-montpellier-tournament-decks-1623,2024-10-19,Cartapapa Set Championship (Montpellier),22,17 - 32,FR
championship-shimmering-skies-fransa-gaming-tournament-decks-1621,2024-10-19,CHAMPIONSHIP SHIMMERING SKIES Fransa Gaming,28,17 - 32,ES
busby-s-lorcana-shimmering-skies-set-championship-tournament-decks-1590,2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US
championship-cieli-scintillanti-il-covo-del-nerd-roma-tournament-decks-1674,2024-10-13,Championship – Cieli Scintillanti Il Covo del Nerd - Roma,45,33 - 64,IT
himmelsleuchten-setmeisterschaft-championship-im-fancy-treasure-tournament-decks-1663,2024-10-13,Himmelsleuchten Setmeisterschaft Championship im FANcy Treasure,18,17 - 32,DE
shimmering-skies-set-championship-tournament-decks-1657,2024-10-13,Shimmering Skies - Set Championship,18,17 - 32,AT
shimmering-skies-championship-nel-multiverso-tournament-decks-1635,2024-10-13,Shimmering Skies Championship NEL MULTIVERSO,23,17 - 32,IT
shimmering-skies-championship-tournament-decks-1620,2024-10-13,Shimmering Skies Championship,25,17 - 32,US
shimmering-skies-set-championship-tournament-decks-1619,2024-10-13,Shimmering Skies Set Championship,26,17 - 32,US
versus-gamecenter-shimmering-skies-championship-tournament-decks-1616,2024-10-13,Versus Gamecenter Shimmering Skies Championship!,30,17 - 32,PT
boutique-awesome-lorcana-shimmering-skies-championship-tournament-decks-1614,2024-10-13,Boutique Awesome Lorcana Shimmering Skies Championship,27,17 - 32,CA
pandemonium-gaming-and-hobbies-set-champs-tournament-decks-1610,2024-10-13,Pandemonium Gaming and Hobbies Set Champs,30,17 - 32,US
ccs-shimmering-skies-championship-tournament-decks-1601,2024-10-13,CCS Shimmering Skies Championship,34,33 - 64,US
lorcana-shimmering-skies-championship-tournament-decks-1597,2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US
the-light-shimmering-skies-set-championship-tournament-decks-1596,2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US
championnat-de-set-ciel-scintillant-tournament-decks-1593,2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR
championnat-de-set-5-ciel-scintillant-relic-tournament-decks-1584,2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR
shimmering-skies-store-championship-tournament-decks-1582,2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US
