date,tournamenttitle,players,playercategory,country,rank,archetype,color,top1,top2,top4,top8,top16,top32
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Cogsworth & Friends,sapphire/steel,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,1st,Steelsong,amber/steel,1,0,0,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,2nd,Mufasa,amber/ruby,0,1,0,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,3rd,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top4,Sing & Shift,ruby/steel,0,0,1,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Sing Together,amber/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Ramp Draw Control,amethyst/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Sisu on Ice,ruby/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Ramp Draw Control,amethyst/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,,sapphire/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,2nd,Bounce,amethyst/emerald,0,1,0,0,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,Top4,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,Top8,Cogsworth & Friends,sapphire/steel,0,0,0,1,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-13,NJDS Tournament #3,53,33 - 64,FR,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,1st,Hyper Aggro,amber/amethyst,1,0,0,0,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,2nd,Sisu on Ice,ruby/sapphire,0,1,0,0,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,3rd,Pawpsicles,ruby/sapphire,0,0,1,0,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,Top4,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Championnat de set Ciel Scintillant,20,17 - 32,FR,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,1st,Discard Aggro,emerald/steel,1,0,0,0,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,2nd,Sisu on Ice,ruby/sapphire,0,1,0,0,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,Top4,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,Top8,Ramp Draw Control,amethyst/sapphire,0,0,0,1,0,0
2024-10-13,Lud'M Set Championship (Montpellier),22,17 - 32,FR,Top8,,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Set Champs,23,17 - 32,IT,1st,Steelsong,amber/steel,1,0,0,0,0,0
2024-10-13,Set Champs,23,17 - 32,IT,2nd,Tempo Control,amethyst/steel,0,1,0,0,0,0
2024-10-13,Set Champs,23,17 - 32,IT,3rd,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-13,Set Champs,23,17 - 32,IT,Top4,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Set Champs,23,17 - 32,IT,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Set Champs,23,17 - 32,IT,Top8,Pawpsicles,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Set Champs,23,17 - 32,IT,Top8,,amethyst/steel,0,0,0,1,0,0
2024-10-13,Set Champs,23,17 - 32,IT,Top8,Steelsong,amber/steel,0,0,0,1,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,1st,Discard,emerald/steel,1,0,0,0,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top4,Cogsworth & Friends,sapphire/steel,0,0,1,0,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top4,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top8,Cogsworth & Friends,sapphire/steel,0,0,0,1,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top8,Songs,amber/emerald,0,0,0,1,0,0
2024-10-13,Set 5 Championship Ludwigsburg,35,33 - 64,DE,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Store Championship,15,0 - 16,FR,1st,Bounce,amethyst/emerald,1,0,0,0,0,0
2024-10-13,Shimmering Skies Store Championship,15,0 - 16,FR,2nd,Pawpsicles,ruby/sapphire,0,1,0,0,0,0
2024-10-13,Shimmering Skies Store Championship,15,0 - 16,FR,3rd,Mufasa,amber/ruby,0,0,1,0,0,0
2024-10-13,Shimmering Skies Store Championship,15,0 - 16,FR,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,2nd,,amber/ruby,0,1,0,0,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,3rd,Cogsworth & Friends,sapphire/steel,0,0,1,0,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top4,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top8,,emerald/steel,0,0,0,1,0,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Discard,emerald/steel,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Cogsworth & Friends,sapphire/steel,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Bounce,amethyst/emerald,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Pawpsicles,ruby/sapphire,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Bounce,amethyst/emerald,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top16,Bounce,amethyst/sapphire,0,0,0,0,1,0
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Bounce,amethyst/emerald,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Bounce,amber/amethyst,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Cogsworth & Friends,sapphire/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Songs,amber/ruby,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Sisu on Ice,ruby/sapphire,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,,amethyst/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Discard Aggro,emerald/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Steelsong,amber/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Discard Aggro,emerald/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,,ruby/sapphire,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Bounce,amethyst/sapphire,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Cogsworth & Friends,sapphire/steel,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,,amethyst/sapphire,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Sing Together,amber/emerald,0,0,0,0,0,1
2024-10-13,Game Nite Shimmering Skies Set Championship,31,17 - 32,US,Top32,Hyper Aggro,amber/amethyst,0,0,0,0,0,1
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,1st,Cogsworth & Friends,sapphire/steel,1,0,0,0,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,3rd,Discard,emerald/steel,0,0,1,0,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top4,Aggro Quest,amber/emerald,0,0,1,0,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Shimmering Skies Championship - Mindstage Norrköping,20,17 - 32,SE,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
