Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,7Serpents,3,5,C,Andi1066,Emerald Sapphire,UwU,LorcanaBasti,Amethyst Steel,Play
Qualification,7Serpents,3,5,D,McLovin,Amber Emerald,UwU,Saiko,Sapphire Steel,Draw
Qualification,TeamInkognito,4,5,A,xSolutionx,Amethyst Sapphire,HardcastLorcanaClub,Tracker,Amethyst Sapphire,Play
Qualification,TeamInkognito,4,5,B,Bananza,Amethyst Steel,HardcastLorcanaClub,Green,Amethyst Steel,Draw
Qualification,TeamInkognito,4,5,C,Kilzin,Amber Emerald,HardcastLorcanaClub,Marc,Amethyst Steel,Play
Qualification,TeamInkognito,4,5,D,Carrier,Ruby Amethyst,HardcastLorcanaClub,CeeGee,Amethyst Sapphire,Draw
Qualification,PlayingDucks,5,5,A,Promisedland,Amethyst Sapphire,Der_Mushu_Clan,pwnTom,Amber Steel,Play
Qualification,PlayingDucks,5,5,B,Nils,Amethyst Steel,Der_Mushu_Clan,JARL,Emerald Sapphire,Draw
Qualification,PlayingDucks,5,5,C,Haertelus,Amethyst Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Play
Qualification,PlayingDucks,5,5,D,Nachtgeist,Amethyst Sapphire,Der_Mushu_Clan,K0rshy,Amethyst Sapphire,Draw
Qualification,TeamTotaHahn,6,5,A,Royal,Amber Steel,TeamMyTradingCards,MichiMaus,Amethyst Steel,Play
Qualification,TeamTotaHahn,6,5,B,crazyetwas,Emerald Steel,TeamMyTradingCards,Larry,Amethyst Sapphire,Draw
Qualification,TeamTotaHahn,6,5,C,Carrie,Amethyst Steel,TeamMyTradingCards,Smaro,Emerald Sapphire,Play
Qualification,TeamTotaHahn,6,5,D,FloriansJade,Amethyst Sapphire,TeamMyTradingCards,Flamantha,Ruby Steel,Draw
Qualification,TeamPrepared,7,5,A,goggelz,Amethyst Sapphire,BBB,TomTom,Amethyst Sapphire,Play
Qualification,TeamPrepared,7,5,B,Samral,Amethyst Steel,BBB,Ina_Sts,Amber Steel,Draw
Qualification,TeamPrepared,7,5,C,PrinzKaos,Amber Emerald,BBB,KranfahrerRonny,Amethyst Steel,Play
Qualification,TeamPrepared,7,5,D,polyvulpes,Amber Steel,BBB,blackchvrch,Amethyst Sapphire,Draw
Qualification,TeamInkognito,9,5,A,Sayman,Ruby Sapphire,TeamMyTradingCards,ChuckMoritz,Sapphire Steel,Play
Qualification,TeamInkognito,9,5,B,Carrier,Ruby Amethyst,TeamMyTradingCards,Smaro,Amethyst Emerald,Draw
Qualification,TeamInkognito,9,5,C,xSolutionx,Amethyst Sapphire,TeamMyTradingCards,MichiMaus,Amethyst Steel,Play
Qualification,TeamInkognito,9,5,D,Kilzin,Amber Emerald,TeamMyTradingCards,Flamantha,Ruby Steel,Draw
Qualification,TeamTotaHahn,10,5,A,crazyetwas,Emerald Steel,TeamGOAT,Kevin,Amethyst Steel,Play
Qualification,TeamTotaHahn,10,5,B,FloriansJade,Amethyst Sapphire,TeamGOAT,Rafa,Amethyst Sapphire,Draw
Qualification,TeamTotaHahn,10,5,C,Suminy,Amethyst Sapphire,TeamGOAT,Juggy,Amethyst Sapphire,Play
Qualification,TeamTotaHahn,10,5,D,Hendrik,Amethyst Steel,TeamGOAT,DanTheMan,Amethyst Steel,Draw
Qualification,TeamSecretRare,11,5,A,Mohoo,Amethyst Sapphire,Der_Mushu_Clan,JARL,Emeradl Sapphire,Draw
Qualification,TeamSecretRare,11,5,B,BBop,Amber Steel,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,TeamSecretRare,11,5,C,Erebos,Amethyst Steel,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,TeamSecretRare,11,5,D,Prymor,Amber Emerald,Der_Mushu_Clan,SarDestiny,Amethyst Sapphire,Play
Qualification,7Serpents,12,5,A,McLovin,Amber Emerald,PlayingDucks,Promisedland,Amethyst Sapphire,Draw
Qualification,7Serpents,12,5,B,Andi1066,Emerald Sapphire,PlayingDucks,Nils,Amethyst Steel,Play
Qualification,7Serpents,12,5,C,InkModeOn,Amethyst Steel,PlayingDucks,Haertelus,Amethyst Sapphire,Draw
Qualification,7Serpents,12,5,D,Schlendi,Amethyst Sapphire,PlayingDucks,Bennet,Amber Steel,Play
Qualification,TeamFreilos,1,6,A,Papierflieger,Emerald Sapphire,ink2well,Nunzi,Emerald Steel,Play
Qualification,TeamFreilos,1,6,B,Kachy,Amethyst Steel,ink2well,Dave,Amber Steel,Draw
Qualification,TeamFreilos,1,6,C,TuneZ,Amber Steel,ink2well,Matze,Emerald Steel,Play
Qualification,TeamFreilos,1,6,D,Webster,Amethyst Sapphire,ink2well,Sarah,Amethyst Steel,Draw
Qualification,PlayingDucks,2,6,A,Haertelus,Amethyst Sapphire,UwU,MarConOne,Amber Steel,Play
Qualification,PlayingDucks,2,6,B,Nils,Amethyst Steel,UwU,TheBigOne,Emerald Sapphire,Draw
Qualification,PlayingDucks,2,6,C,Promisedland,Amethyst Sapphire,UwU,Martosch,Amber Emerald,Play
Qualification,PlayingDucks,2,6,D,Nachtgeist,Amethyst Sapphire,UwU,LorcanaBasti,Amethyst Steel,Draw
Qualification,MROsGlimmerGang,3,6,A,Maxing,Emerald Sapphire,Der_Mushu_Clan,K0rshy,Sapphire Steel,Draw
Qualification,MROsGlimmerGang,3,6,B,Severin,Amber Steel,Der_Mushu_Clan,akaTJ,Amethyst Steel,Play
Qualification,MROsGlimmerGang,3,6,C,ZenTera,Amber Emerald,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,MROsGlimmerGang,3,6,D,DanW15,Amber Emerald,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Play
Qualification,TeamMyTradingCards,4,6,A,Flamantha,Ruby Steel,BBB,Breezy,Amber Steel,Draw
Qualification,TeamMyTradingCards,4,6,B,ChuckMoritz,Sapphire Steel,BBB,KranfahrerRonny,Amethyst Steel,Play
Qualification,TeamMyTradingCards,4,6,C,MichiMaus,Amethyst Steel,BBB,Ina_Sts,Amber Steel,Draw
Qualification,TeamMyTradingCards,4,6,D,Smaro,Emerald Sapphire,BBB,FabTricks,Amethyst Steel,Play
Qualification,TeamTintenvorrat,5,6,A,LeXtreme,Amethyst Sapphire,TeamFreilos,Papierflieger,Emerald Sapphire,Draw
Qualification,TeamTintenvorrat,5,6,B,PusherGene,Amethyst Steel,TeamFreilos,Webster,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,5,6,C,Younique,Amethyst Steel,TeamFreilos,DerKoch,Emerald Steel,Draw
Qualification,TeamTintenvorrat,5,6,D,Paduaner,Amethyst Sapphire,TeamFreilos,TuneZ,Amber Steel,Play
Qualification,TeamTintenvorrat,6,6,A,LeXtreme,Amethyst Sapphire,TeamGOAT,Juggy,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,6,6,B,CNTPD,Emerald Sapphire,TeamGOAT,Nayro,Amethyst Sapphire,Draw
Qualification,TeamTintenvorrat,6,6,C,PusherGene,Amethyst Steel,TeamGOAT,DanTheMan,Amethyst Steel,Play
Qualification,TeamTintenvorrat,6,6,D,Paduaner,Amethyst Sapphire,TeamGOAT,Kevin,Amethyst Steel,Draw
Qualification,TeamTotaHahn,7,6,A,crazyetwas,Emerald Steel,MROsGlimmerGang,Severin,Amber Steel,Play
Qualification,TeamTotaHahn,7,6,B,Hendrik,Amethyst Steel,MROsGlimmerGang,ZenTera,Amber Emerald,Draw
Qualification,TeamTotaHahn,7,6,C,Granic,Amber Steel,MROsGlimmerGang,Maxing,Emerald Sapphire,Play
Qualification,TeamTotaHahn,7,6,D,Tabea,Amethyst Steel,MROsGlimmerGang,DanW15,Amber Emerald,Draw
Qualification,MROsGlimmerGang,8,6,A,DanW15,Amber Emerald,TeamMyTradingCards,ChuckMoritz,Sapphire Steel,Play
Qualification,MROsGlimmerGang,8,6,B,ZenTera,Amber Emerald,TeamMyTradingCards,Flamantha,Ruby Steel,Draw
Qualification,MROsGlimmerGang,8,6,C,Maxing,Emerald Sapphire,TeamMyTradingCards,Smaro,Emerald Sapphire,Play
Qualification,MROsGlimmerGang,8,6,D,Severin,Amber Steel,TeamMyTradingCards,MichiMaus,Amethyst Steel,Draw
Qualification,MROsGlimmerGang,9,6,A,ZenTera,Amber Emerald,BrothersInLore,MatDembo,Amethyst Steel,Play
Qualification,MROsGlimmerGang,9,6,B,DanW15,Amber Emerald,BrothersInLore,KaijuManu,Emerald Sapphire,Draw
Qualification,MROsGlimmerGang,9,6,C,Severin,Amber Steel,BrothersInLore,Herolt,Emerald Sapphire,Play
Qualification,MROsGlimmerGang,9,6,D,Maxing,Emerald Sapphire,BrothersInLore,Pasqualitto,Amethyst Sapphire,Draw
Qualification,TeamInkognito,10,6,A,Carrier,Ruby Amethyst,TeamFreilos,DerKoch,Emerald Steel,Play
Qualification,TeamInkognito,10,6,B,Sayman,Ruby Sapphire,TeamFreilos,Papierflieger,Emerald Sapphire,Draw
Qualification,TeamInkognito,10,6,C,Crosseden,Amber Emerald,TeamFreilos,Kachy,Amethyst Steel,Play
Qualification,TeamInkognito,10,6,D,Kilzin,Amber Emerald,TeamFreilos,Webster,Amethyst Sapphire,Draw
Qualification,7Serpents,11,6,A,Andi1066,Emerald Sapphire,TeamPrepared,Samral,Amethyst Steel,Play
Qualification,7Serpents,11,6,B,McLovin,Amber Emerald,TeamPrepared,Naijul,Amethyst Sapphire,Draw
Qualification,7Serpents,11,6,C,InkModeOn,Amethyst Steel,TeamPrepared,goggelz,Amethyst Sapphire,Play
Qualification,7Serpents,11,6,D,Schlendi,Amethyst Sapphire,TeamPrepared,WenrA,Amethyst Steel,Draw
Qualification,TeamInkognito,12,6,A,Carrier,Ruby Amethyst,TeamPrepared,goggelz,Amethyst Sapphire,Play
Qualification,TeamInkognito,12,6,B,Crosseden,Amber Emerald,TeamPrepared,Zook,Emerald Steel,Draw
Qualification,TeamInkognito,12,6,C,xSolutionx,Amethyst Sapphire,TeamPrepared,polyvulpes,Amber Steel,Play
Qualification,TeamInkognito,12,6,D,Sayman,Ruby Sapphire,TeamPrepared,WenrA,Amethyst Steel,Draw
Qualification,TeamSecretRare,1,7,A,Erebos,Amethyst Steel,TeamPrepared,Zook,Emerald Steel,Draw
Qualification,TeamSecretRare,1,7,B,Quabatchie,Amethyst Sapphire,TeamPrepared,polyvulpes,Amber Steel,Play
Qualification,TeamSecretRare,1,7,C,Prymor,Amber Emerald,TeamPrepared,PrinzKaos,Amber Emerald,Draw
Qualification,TeamSecretRare,1,7,D,Mohoo,Amethyst Sapphire,TeamPrepared,goggelz,Amethyst Sapphire,Play
Qualification,TeamSecretRare,2,7,A,Quabatchie,Amethyst Sapphire,KasselIllumineers,Kuba,Amethyst Sapphire,Play
Qualification,TeamSecretRare,2,7,B,Erebos,Amethyst Steel,KasselIllumineers,Tuan,Amber Steel,Draw
Qualification,TeamSecretRare,2,7,C,Mohoo,Amethyst Sapphire,KasselIllumineers,Kay,Emerald Sapphire,Play
Qualification,TeamSecretRare,2,7,D,Prymor,Amber Emerald,KasselIllumineers,Schaffi,Amethyst Sapphire,Draw
Qualification,HardcastLorcanaClub,3,7,A,Imboslice,Amber Steel,ink2well,Nunzi,Emerald Steel,Play
Qualification,HardcastLorcanaClub,3,7,B,Marc,Amethyst Steel,ink2well,Dave,Amber Steel,Draw
Qualification,HardcastLorcanaClub,3,7,C,Green,Amethyst Steel,ink2well,Carddigga,Sapphire Steel,Play
Qualification,HardcastLorcanaClub,3,7,D,Kimbo,Sapphire Steel,ink2well,Sarah,Amethyst Steel,Draw
Qualification,TeamTintenvorrat,4,7,A,PusherGene,Amethyst Steel,TeamGOAT,Ronte,Amethyst Sapphire,Play
Qualification,TeamTintenvorrat,4,7,B,Younique,Amethyst Steel,TeamGOAT,Schroedy,Emerald Steel,Draw
Qualification,TeamTintenvorrat,4,7,C,LeXtreme,Amethyst Sapphire,TeamGOAT,Toadsen,Emerald Sapphire,Play
Qualification,TeamTintenvorrat,4,7,D,Paduaner,Amethyst Sapphire,TeamGOAT,ShakiraShakira,Amethyst Steel,Draw
Qualification,HardcastLorcanaClub,5,7,A,CeeGee,Amethyst Sapphire,TeamPrepared,PrinzKaos,Amber Emerald,Play
Qualification,HardcastLorcanaClub,5,7,B,Kimbo,Sapphire Steel,TeamPrepared,Zook,Emerald Steel,Draw
Qualification,HardcastLorcanaClub,5,7,C,Imboslice,Amber Steel,TeamPrepared,WenrA,Amethyst Steel,Play
Qualification,HardcastLorcanaClub,5,7,D,Tracker,Amethyst Sapphire,TeamPrepared,goggelz,Amethyst Sapphire,Draw
Qualification,PlayingDucks,6,7,A,Haertelus,Amethyst Sapphire,TeamFreilos,Papierflieger,Emerald Sapphire,Play
Qualification,PlayingDucks,6,7,B,Nils,Amethyst Steel,TeamFreilos,TuneZ,Amber Steel,Draw
Qualification,PlayingDucks,6,7,C,Promisedland,Amethyst Sapphire,TeamFreilos,Webster,Amethyst Sapphire,Play
Qualification,PlayingDucks,6,7,D,Nachtgeist,Amethyst Sapphire,TeamFreilos,Kachy,Amethyst Steel,Draw
Qualification,TeamGOAT,7,7,A,Nayro,Amethyst Sapphire,Der_Mushu_Clan,pwnTom,Amber Steel,Play
Qualification,TeamGOAT,7,7,B,Juggy,Amethyst Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Draw
Qualification,TeamGOAT,7,7,C,DanTheMan,Amethyst Steel,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,TeamGOAT,7,7,D,Kevin,Amethyst Steel,Der_Mushu_Clan,JARL,Emerald Sappbire,Draw
Qualification,TeamTotaHahn,8,7,A,crazyetwas,Emerald Steel,TeamMulligan,ShakiraShakira,Amethyst Steel,Play
Qualification,TeamTotaHahn,8,7,B,Carrie,Amethyst Steel,TeamMulligan,Schroedy,Emerald Steel,Draw
Qualification,TeamTotaHahn,8,7,C,Granic,Amber Steel,TeamMulligan,Toadsen,Emerald Sapphire,Play
Qualification,TeamTotaHahn,8,7,D,FloriansJade,Amethyst Sapphire,TeamMulligan,Ronte,Amethyst Sapphire,Draw
Qualification,PlayingDucks,10,7,A,Haertelus,Amethyst Sapphire,TeamMyTradingCards,Smaro,Emerald Sapphire,Play
Qualification,PlayingDucks,10,7,B,Nachtgeist,Amethyst Sapphire,TeamMyTradingCards,ChuckMoritz,Sapphire Steel,Draw
Qualification,PlayingDucks,10,7,C,Promisedland,Amethyst Sapphire,TeamMyTradingCards,Feilers7,Amethyst Emerald,Play
Qualification,PlayingDucks,10,7,D,DerHut,Amethyst Emerald,TeamMyTradingCards,Flamantha,Ruby Steel,Draw
Qualification,BattleBear,11,7,A,Hetti,Sapphire Steel,Tintenlovers,Phillip,Amethyst Emerald,Draw
Qualification,BattleBear,11,7,B,AkatsukiCap,Amethyst Sapphire,Tintenlovers,Tobias,Amber Steel,Play
Qualification,BattleBear,11,7,C,Pew_Pew,Amethyst Steel,Tintenlovers,MaxPower,Amethyst Sapphire,Draw
Qualification,BattleBear,11,7,D,Gonk,Amethyst Sapphire,Tintenlovers,Kiatsay,Sapphire Steel,Play
Qualification,TeamTIC,12,7,A,Taxnado,Amethyst Steel,Der_Mushu_Clan,K0rshy,Sapphire Steel,Play
Qualification,TeamTIC,12,7,B,Mironique,Emerald Steel,Der_Mushu_Clan,JARL,Emerald Sapphire,Draw
Qualification,TeamTIC,12,7,C,Templelore,Amethyst Sapphire,Der_Mushu_Clan,pwnTom,Amber Steel,Play
Qualification,TeamTIC,12,7,D,PowerPainter,Emerald Ruby,Der_Mushu_Clan,SarDestiny,Amethyst Sapphire,Draw
