Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,TeamIconic,12,4,B,Cinime,Sapphire Steel,InkCrows,Rafa,Amethyst Sapphire,Play
Qualification,TeamIconic,12,4,C,Flügelschlägerin,Emerald Sapphire,InkCrows,Trois,Emerald Sapphire,Draw
Qualification,TeamIconic,12,4,D,Netexx,Amethyst Sapphire,InkCrows,Tony,Amethyst Emerald,Play
Qualification,TeamGOAT,1,1,A,Blub,Amethyst Sapphire,MROsGlimmerGang,DanW15,Amber Emerald,Play
Qualification,TeamGOAT,1,1,B,DanTheMan,Amethyst Steel,MROsGlimmerGang,Severin,Amber Steel,Draw
Qualification,TeamGOAT,1,1,C,Kevin,Amethyst Steel,MROsGlimmerGang,Maxing,Emerald Sapphire,Play
Qualification,TeamGOAT,1,1,D,Juggy,Amethyst Sapphire,MROsGlimmerGang,ZenTera,Amber Emerald,Draw
Qualification,7Serpents,2,1,A,InkModeOn,Amethyst Steel,TeamTintenvorrat,Paduaner,Amethyst Sapphire,Play
Qualification,7Serpents,2,1,B,LucyCat,Amethyst Steel,TeamTintenvorrat,CuddlesomeTiger,Amber Steel,Draw
Qualification,7Serpents,2,1,C,Andi1066,Emerald Sapphire,TeamTintenvorrat,PusherGene,Amethyst Steel,Play
Qualification,7Serpents,2,1,D,McLovin,Amber Emerald,TeamTintenvorrat,LeXtreme,Amethyst Sapphire,Draw
Qualification,TeamSecretRare,3,1,A,Quabatchie,Amethyst Sapphire,TeamInkognito,Kilzin,Amber Emerald,Play
Qualification,TeamSecretRare,3,1,B,Prymor,Amber Emerald,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,TeamSecretRare,3,1,C,Mohoo,Amethyst Sapphire,TeamInkognito,Carrier,Ruby Amethyst,Play
Qualification,TeamSecretRare,3,1,D,Erebos,Amethyst Steel,TeamInkognito,Bananza,Amethyst Steel,Draw
Qualification,7Serpents,4,1,A,Andi1066,Emerald Sapphire,TeamTotaHahn,Royal,Amber Steel,Play
Qualification,7Serpents,4,1,B,McLovin,Amber Emerald,TeamTotaHahn,Suminy,Amethyst Sapphire,Draw
Qualification,7Serpents,4,1,C,InkModeOn,Amethyst Steel,TeamTotaHahn,FloriansJade,Amethyst Sapphire,Play
Qualification,7Serpents,4,1,D,Schlendi,Amethyst Sapphire,TeamTotaHahn,Hendrik,Amethyst Steel,Draw
Qualification,7Serpents,5,1,A,InkModeOn,Amethyst Steel,DarkWings,Secret,Amber Emerald,Draw
Qualification,7Serpents,5,1,B,Andi1066,Emerald Sapphire,DarkWings,Chupa,Amethyst Sapphire,Play
Qualification,7Serpents,5,1,C,Schlendi,Amethyst Sapphire,DarkWings,Tommydo0,Emerald Sapphire,Draw
Qualification,7Serpents,5,1,D,McLovin,Amber Emerald,DarkWings,MarsiDarsi,Amethyst Steel,Play
Qualification,7Serpents,6,1,A,McLovin,Amber Emerald,TeamInkognito,xSolutionx,Amethyst Sapphire,Draw
Qualification,7Serpents,6,1,B,Andi1066,Emerald Sapphire,TeamInkognito,Sayman,Ruby Sapphire,Play
Qualification,7Serpents,6,1,C,Schlendi,Amethyst Sapphire,TeamInkognito,Carrier,Ruby Amethyst,Draw
Qualification,7Serpents,6,1,D,InkModeOn,Amethyst Steel,TeamInkognito,Bananza,Amethyst Steel,Play
Qualification,7Serpents,8,1,A,Andi1066,Emerald Sapphire,TeamSecretRare,Membis,Amethyst Steel,Play
Qualification,7Serpents,8,1,B,InkModeOn,Amethyst Steel,TeamSecretRare,BBop,Amber Steel,Draw
Qualification,7Serpents,8,1,C,Schlendi,Amethyst Sapphire,TeamSecretRare,Mohoo,Amethyst Sapphire,Play
Qualification,7Serpents,8,1,D,LucyCat,Amethyst Steel,TeamSecretRare,Erebos,Amethyst Steel,Draw
Qualification,IllumineersRN,9,1,A,keo,Amethyst Steel,TeamTintenvorrat,Paduaner,Amethyst Sapphire,Play
