Location,Latitude,Longitude
Birmingham,52.45315560750666,-1.717254987790163
Bochum,51.491089453148845,7.233361394934519
Bologna,44.51201010582889,11.361701035322552
Card Club Hockenheim,49.320438818819945,8.545766270473406
Cool Speyer,49.31930854825111,8.427322839843988
Disneyland Paris,48.86563728998119,2.78936689448993
Futur Turnhout,51.32508408955314,4.943015298308399
JK Entertainment Darmstadt,49.87193011643614,8.65409401043141
Lille,50.63272162503136,3.0780627688069275
Maintal,50.148510672349204,8.813807241952055
Mana Zone TCG,48.80581234937037,9.525329606703158
Ravensburger Store Mannheim,49.48670253565211,8.47266285530783
Spiele-Pyramide,49.015193563205905,8.359107629154522
Spielwaren Neusser,49.409697137975385,8.684839917979698
Wizards Well,49.48894085294556,8.471083125739366
Home,,
WebCam,,
